5500, 22008400, 19448700, 19772800, 19447100, 19660400, 19591800, 25529200, 26987300, 23407700, 20514000, 22776100, 19470100, 19649300, 19586500, 19478500, 23202300, 21006500, 20426800, 19824600, 19347500, 19854800, 21190200, 21051200, 19372200, 20940200, 21037800, 20383800, 19689800, 19624200, 19109400, 19765100, 20049000, 19286200, 19971900, 22614900, 20863500, 19704500, 19360600, 19506000, 19675000, 19454300, 20212500, 19829300, 19839100, 20844100, 22988600, 19703200, 19608000, 19690500, 19687700, 19678700, 19656800, 19667800, 19403000, 20084600, 23130900, 19899500, 22386900, 22322300, 21623500, 20247100, 19525000, 19581700, 20186200, 20802200, 22210400, 20750400, 20587200, 19692400, 19879100, 19612500, 20049400, 19869600, 21405300, 21621200, 27036400, 19735200, 19820800, 19736700, 22207200, 21151400, 20059400, 22294900, 24397700, 24906300, 22320600, 19920000, 19961800, 21302200, 19915400, 21477100, 20783200, 21720200, 20315500, 20199900, 19977100, 19739000, 21374100, 19403400, 19598200, 
6000, 23580500, 24159300, 26631600, 24432800, 23474800, 27167900, 23444600, 25829500, 23229500, 25269400, 27926100, 23468000, 23258200, 24880700, 23676600, 23299300, 23550900, 24601500, 24589800, 23287400, 23314300, 25865900, 23347200, 23226200, 23615800, 23079700, 25533100, 24196000, 23362000, 23204900, 23901100, 23824900, 23429600, 23997000, 29789800, 24154400, 23778600, 23483400, 23916400, 23311300, 23648200, 23514900, 28104100, 24504200, 26261700, 23452200, 25265200, 26238200, 24271600, 23386900, 27408500, 26103800, 23414100, 23788100, 23240200, 26206400, 23840800, 23406000, 23416100, 25713500, 23335800, 23486000, 25106600, 23458600, 23296900, 23418000, 24153900, 23763400, 26275600, 23053900, 24091100, 23726900, 23626500, 23558600, 23780300, 24413700, 26704400, 24263200, 23967900, 23270000, 23412800, 23491700, 23778000, 23352700, 29843900, 23677000, 24197300, 26768700, 23413800, 23305400, 23855500, 23631700, 33092800, 30805800, 23140500, 23793500, 25597500, 23471500, 23327900, 25094200, 
6500, 29385500, 27449100, 28965800, 27496700, 28548700, 27557400, 27831700, 28831900, 27100300, 27285300, 28044500, 27570800, 29353700, 28261500, 28448600, 27403900, 27336300, 27246200, 27438400, 27637900, 27501400, 31924300, 27920200, 31265900, 27099400, 27586600, 30103800, 29160000, 30505400, 27413900, 27521900, 27515700, 28553900, 30508900, 29837500, 29084000, 28028000, 29076300, 27448400, 27636600, 30806300, 28399000, 35632500, 30450500, 27537000, 30946700, 27375700, 27578600, 32327400, 28347400, 27302300, 29249700, 27526200, 30004600, 27485300, 29908000, 27671400, 27405500, 31571100, 29657800, 27763500, 27280800, 30602700, 27221800, 27691700, 29217300, 27543600, 27603000, 27964700, 29211100, 27256500, 28867100, 27751400, 30056800, 27432200, 27464200, 29523800, 27609600, 27520200, 27491400, 30924800, 28769200, 28073300, 28922500, 27573700, 27648000, 29059000, 27356900, 27854300, 27240000, 28703700, 41295000, 31275500, 30901100, 27720300, 27562800, 29359100, 33669300, 28131700, 30435700, 
7000, 32323400, 31810000, 31834800, 35106000, 33733900, 32088900, 32262200, 31817200, 32263600, 33688400, 31917900, 31435600, 32437700, 34874100, 32006600, 34779000, 32250400, 32732500, 32331300, 32357400, 32155000, 35543200, 34609700, 38401900, 32799000, 31945400, 31556300, 40556100, 32843600, 31816700, 31526200, 31554300, 31944400, 32164700, 39626200, 32869100, 32314300, 31792000, 36846000, 33376000, 34934600, 32152300, 31988600, 31946700, 31625300, 35646200, 33436200, 31547800, 31573000, 31754500, 32492900, 34958000, 33905600, 31809600, 33407300, 32350000, 31684000, 35992100, 35626600, 31240100, 32014000, 31980600, 34674900, 31845000, 35673900, 31806000, 32714200, 31500700, 32246100, 36250100, 33128900, 31811000, 31542400, 31891100, 31637300, 33372900, 43868200, 35621700, 32785300, 31193500, 34223300, 34415500, 33730700, 38085500, 31890300, 32166000, 32539600, 37169600, 32967500, 31414100, 31691000, 31686000, 31986900, 32514100, 35128500, 32082700, 31641600, 31570600, 32742700, 32638700, 
7500, 39773000, 36238000, 36526400, 39937400, 36274700, 39670400, 36034900, 40252000, 37350700, 36190600, 37501300, 40548800, 43419200, 37014000, 36461500, 50616200, 40187200, 36682900, 38108600, 40340900, 42831500, 36489300, 36083100, 36104400, 37147200, 39653500, 39000700, 37648300, 36744000, 36619700, 41543800, 39279600, 38887900, 36646300, 36219300, 36114300, 43331500, 36894800, 39304200, 36618600, 37541800, 42337800, 36351700, 36837800, 36966900, 36360500, 41898600, 50997200, 36305100, 36225800, 36652000, 37415300, 39308700, 38589800, 36698800, 36123600, 37671700, 38701100, 44364500, 36374100, 36553000, 36255700, 40170600, 41950300, 38003300, 36898600, 39018600, 38302200, 38778600, 39774100, 36193300, 36328500, 37517200, 37835000, 36416200, 37965300, 35976400, 36854500, 39425100, 37185400, 40381000, 36247400, 36495000, 46086300, 41924300, 37604700, 39383800, 36514600, 40828300, 37188200, 39560500, 37368000, 38220700, 38408600, 39112500, 36745300, 36993400, 39847500, 37479800, 39234800, 
8000, 41411000, 42206300, 44642900, 43132600, 41947700, 42602700, 43356500, 42292800, 44111600, 41026600, 43416300, 42781200, 45620700, 42816000, 48004200, 42856200, 42708300, 43934300, 45920200, 43275000, 41983600, 42120800, 44723400, 43587300, 43908000, 42405000, 44038800, 42006300, 42089000, 41574600, 42239700, 45661000, 41803700, 41626800, 47278500, 41974000, 43611000, 46050700, 44024000, 44067800, 47700900, 41427100, 41808500, 42153000, 41677000, 50997200, 45340100, 41977100, 43604100, 45175800, 42536400, 41671200, 41066900, 41800000, 43922600, 41945000, 44233600, 45154500, 41211400, 43087100, 45733800, 46299400, 42092000, 42404200, 42623200, 41280200, 45344900, 42118400, 43049400, 41685100, 41799200, 42979500, 41661600, 45563900, 44007300, 42378600, 42960900, 44715800, 55645900, 42204100, 41223600, 45388100, 46811100, 47504100, 42434600, 42828400, 43450500, 43516200, 41793800, 42320100, 41640100, 44840700, 42862600, 41168400, 41545200, 41970400, 42975100, 44403100, 41886600, 41487300, 
8500, 49581000, 46640900, 50891200, 46828500, 48235800, 51296900, 52789300, 47553100, 48809900, 53823400, 46611700, 46816700, 49273100, 49621300, 46585300, 46417700, 46895400, 48849600, 48045300, 46796500, 46195000, 51323600, 47066300, 46840500, 51552400, 49229200, 50312700, 52266900, 50636900, 50070200, 47032300, 47148300, 47707000, 47902100, 46702400, 47604900, 46380600, 49539700, 52985100, 46871400, 49110800, 51551400, 49165900, 49180000, 48462300, 49277200, 48970100, 50211000, 49194100, 48055400, 49550600, 50250300, 46969300, 47938500, 50108900, 47505300, 47426100, 48066000, 50469400, 52506100, 47189700, 46699400, 50166800, 47225400, 48637300, 47323500, 61093700, 53809300, 49808000, 48167100, 48926200, 47013700, 47472100, 47003800, 50447400, 46607500, 47124300, 46716400, 53146500, 47274900, 52531000, 47079500, 52288400, 47156300, 47820200, 46976900, 49451400, 52973100, 47596100, 47057300, 49764900, 50372100, 47830000, 50895900, 58511900, 50164900, 47066100, 51226200, 51540400, 50203400, 
9000, 53180800, 56812200, 54613100, 52458100, 55278400, 53237500, 55135300, 58146900, 54482700, 57080800, 52873900, 52720200, 52501000, 58399000, 52416100, 53807900, 53845700, 54261800, 53154800, 55658100, 55742300, 61147900, 54697400, 51434100, 55494700, 57410000, 56745000, 54209800, 55027300, 52083600, 52749800, 58025600, 51586500, 53513200, 52543400, 56973800, 52536400, 60009500, 58559400, 53079700, 52263900, 57575300, 57919300, 55704300, 54692900, 53127800, 60670100, 52129000, 55591100, 60091100, 53132000, 56902600, 52760900, 53765800, 52558600, 56667400, 57349400, 55037800, 54010200, 54343300, 54952000, 57047700, 56451200, 52576500, 55033800, 52243500, 55546400, 53676700, 55432300, 52447900, 53916300, 61206200, 57738800, 56427700, 54492000, 57773900, 53614800, 56489700, 54745200, 58909900, 56277300, 52859600, 54179700, 52696800, 57541600, 53101900, 53511600, 51691500, 52692000, 54032600, 52995400, 52844000, 55237600, 54738700, 52968400, 55688700, 53566800, 62782000, 60429100, 52328000, 
9500, 67688400, 57965400, 63129300, 61245500, 60878900, 58509300, 61593800, 60693900, 58990200, 63301800, 61133400, 58300000, 61002600, 60888600, 62285000, 59577900, 63046800, 62479300, 58516900, 62088300, 70042600, 59232400, 59333300, 63825200, 62134100, 57905700, 63375500, 58795000, 58817700, 67950000, 66577600, 64722400, 60518300, 59664600, 60880900, 60190600, 64900500, 61817800, 60533800, 63376000, 63363200, 64886900, 67722900, 69720100, 66209600, 155972800, 84304100, 69924900, 76534400, 62540000, 66670900, 60301700, 60046500, 65329300, 65528700, 63746500, 61254700, 65667900, 61221800, 60854400, 68637100, 61881400, 61654700, 67460800, 67614900, 62200500, 67260800, 67359100, 70784400, 86328100, 61841700, 59295300, 70519500, 66003100, 76685500, 74879700, 69549600, 72845800, 72755000, 74605300, 92472100, 75765800, 98782100, 87112000, 75521200, 82261300, 66561100, 134821200, 100172300, 60166100, 60167600, 68167400, 59625100, 66147100, 68914000, 66989400, 65591300, 70982100, 67973900, 63770400, 
10000, 72169200, 73921700, 94879600, 84684600, 91862100, 90946700, 74283500, 76964700, 81514600, 71036500, 70872800, 70394400, 69974700, 69026300, 67617200, 82069200, 74434700, 75927200, 82117400, 75646400, 68370800, 80852000, 66343300, 67233200, 80148800, 65366400, 68736000, 66276600, 72987800, 75168200, 68748900, 72854400, 77732200, 67824600, 69354800, 68626600, 68500900, 87008900, 67941400, 69862200, 73902700, 65935200, 70299300, 73347600, 69122000, 66717000, 72748500, 68605300, 65658700, 68949200, 70024100, 66871200, 68293400, 65677800, 65679300, 68904700, 65256000, 69671300, 70836100, 66068600, 69771100, 70653200, 64919700, 74852900, 69757100, 66140200, 66779900, 68807800, 71147100, 65863500, 67935400, 69569600, 71213900, 69010700, 65390300, 70270300, 72414000, 88706700, 76871900, 68709200, 69903800, 71230700, 66186100, 70095100, 70936200, 69946000, 72572200, 68781500, 66540800, 68309800, 68360200, 66430000, 65900600, 70914600, 64592800, 65477000, 70877100, 66550800, 65037800, 71354900, 
